artist,song,rating
anita baker,giving you the best I got,5
Lil Duval,living my best life,1
micheal jackson,rock my world,5
rihanna,where have you been,5
patti labelle,somebody loves you baby,5
ella mai,boo'd up,1
ella mai,trip,2
h.e.r,still down,4
frank ocean ,thinking bout you,4
jhene aiko,sativa,3
jhene aiko,sing to me,5
journey,don't stop beliving,5
survior,eye of the tiger,5
bon jovi,living on a prayer,4
the ojays,use to be my girl,4
the whispers,song for donnie,4
keyshia cole,choose you,5
2pac,brenda had baby,3
chris brown,with you,5
drake ,sooner than later,5
drake ,take care,4
drake ,keke,1
kayne west,goodmorning,1
kayne west,i love it,1
